categoria_es,pedidos,score_promedio,tasa_mala_experiencia,malas_experiencias,pct_tarde,retraso_promedio_dias
"Cama, mesa y baño",9177,4.0,16.03,1471,7.28,-11.44
Belleza y salud,8601,4.23,11.45,985,7.36,-12.02
Muebles y decoración,6260,4.06,15.35,961,7.03,-12.38
Informática y accesorios,6499,4.08,14.56,946,6.26,-12.41
Deporte y ocio,7486,4.23,11.38,852,6.51,-11.88
Relojes y regalos,5454,4.12,13.7,747,7.24,-11.85
Utensilios domésticos,5709,4.19,11.82,675,5.25,-12.13
Telefonía,4069,4.05,14.13,575,7.05,-11.26
Automotriz,3792,4.15,13.0,493,7.2,-11.28
Juguetes,3774,4.24,11.39,430,6.15,-12.17
Herramientas de jardín,3428,4.18,12.25,420,6.45,-11.93
Bebés,2787,4.1,14.28,398,7.89,-11.59
Novedades,3531,4.22,11.27,398,5.81,-12.44
Perfumería,3076,4.26,11.77,362,6.5,-12.37
Electrónica,2498,4.12,13.21,330,7.61,-11.03
Muebles de oficina,1244,3.64,21.95,273,7.96,-11.87
Sin categoría,1382,4.01,17.44,241,7.24,-11.4
Papelería,2251,4.3,10.04,226,6.49,-12.05
Moda: bolsos y accesorios,1811,4.24,10.16,184,5.58,-13.18
Mascotas,1680,4.27,10.65,179,5.0,-12.39
Consolas y videojuegos,1009,4.18,11.1,112,5.85,-11.57
Construcción: herramientas,731,4.13,13.27,97,7.11,-11.17
Maletas y accesorios,1015,4.37,8.18,83,4.24,-12.62
Casa y construcción,481,3.99,17.26,83,6.03,-11.4
Electrodomésticos,744,4.21,11.02,82,4.44,-12.63
Audio,345,3.84,21.74,75,11.59,-10.06
Confort para el hogar,390,3.88,18.72,73,9.49,-9.76
Instrumentos musicales,605,4.23,11.74,71,7.6,-11.46
Electrodomésticos pequeños,604,4.25,11.59,70,4.64,-13.92
Muebles de sala,409,4.07,14.18,58,7.09,-11.85
Alimentos,437,4.33,10.07,44,6.86,-9.85
Libros de interés general,492,4.53,6.3,31,6.3,-11.92
