ciudad,customer_state,ingresos,pedidos,clientes,ticket,pct_ingresos,nombre
sao paulo,SP,1859556.83,15045,14528,123.6,14.06,Sao Paulo (SP)
rio de janeiro,RJ,955573.97,6601,6361,144.76,7.23,Rio de Janeiro (RJ)
belo horizonte,MG,346039.04,2697,2606,128.31,2.62,Belo Horizonte (MG)
brasilia,DF,295814.72,2071,2013,142.84,2.24,Brasilia (DF)
curitiba,PR,205999.33,1489,1434,138.35,1.56,Curitiba (PR)
campinas,SP,184657.87,1406,1363,131.34,1.4,Campinas (SP)
porto alegre,RS,182319.55,1342,1292,135.86,1.38,Porto Alegre (RS)
salvador,BA,173273.05,1188,1154,145.85,1.31,Salvador (BA)
guarulhos,SP,139008.19,1144,1111,121.51,1.05,Guarulhos (SP)
niteroi,RJ,115890.26,825,788,140.47,0.88,Niteroi (RJ)
sao bernardo do campo,SP,102514.23,911,881,112.53,0.78,Sao Bernardo do Campo (SP)
santos,SP,98349.4,700,680,140.5,0.74,Santos (SP)
goiania,GO,96547.85,660,641,146.28,0.73,Goiania (GO)
fortaleza,CE,93269.67,618,609,150.92,0.71,Fortaleza (CE)
santo andre,SP,89380.83,777,750,115.03,0.68,Santo Andre (SP)
recife,PE,85186.33,593,571,143.65,0.64,Recife (PE)
florianopolis,SC,84043.85,556,535,151.16,0.64,Florianopolis (SC)
osasco,SP,80820.34,724,697,111.63,0.61,Osasco (SP)
jundiai,SP,80398.04,549,532,146.44,0.61,Jundiai (SP)
belem,PA,78002.75,428,418,182.25,0.59,Belem (PA)
